Series_Title,Year,title_norm,kg_id,imdb_id,kg_release_date,kg_vote_avg,kg_vote_count,_matched_key
Idi i smotri,1985,idi i smotri,,,,,,
Aliens,1986,aliens,679.0,tt0090605,1986-07-18,7.7,3282.0,title_norm
Amadeus,1984,amadeus,279.0,tt0086879,1984-10-26,7.8,1107.0,title_norm
Scarface,1983,scarface,111.0,tt0086250,1983-12-08,8.0,3017.0,title_norm
Star Wars: Episode VI - Return of the Jedi,1983,star wars episode vi  return of the jedi,,,,,,
Das Boot,1981,das boot,387.0,tt0082096,1981-09-16,7.9,623.0,title_norm
Taxi Driver,1976,taxi driver,103.0,tt0075314,1976-02-07,8.1,2632.0,title_norm
The Sting,1973,the sting,9277.0,tt0070735,1973-12-25,7.9,639.0,title_norm
A Clockwork Orange,1971,a clockwork orange,185.0,tt0066921,1971-12-18,8.0,3432.0,title_norm
2001: A Space Odyssey,1968,2001 a space odyssey,62.0,tt0062622,1968-04-10,7.9,3075.0,title_norm
Per qualche dollaro in più,1965,per qualche dollaro in più,938,tt0059578,1965-12-18,7.8,988.0,original_title_norm
Lawrence of Arabia,1962,lawrence of arabia,947.0,tt0056172,1962-12-10,7.8,870.0,title_norm
The Apartment,1960,the apartment,284.0,tt0053604,1960-06-15,8.1,498.0,title_norm
North by Northwest,1959,north by northwest,213.0,tt0053125,1959-07-07,7.8,1062.0,title_norm
Vertigo,1958,vertigo,426.0,tt0052357,1958-05-09,8.0,1162.0,title_norm
Singin' in the Rain,1952,singin in the rain,872.0,tt0045152,1952-04-10,7.9,747.0,title_norm
Ikiru,1952,ikiru,3782.0,tt0044741,1952-10-09,8.1,208.0,title_norm
Ladri di biciclette,1948,ladri di biciclette,5156,tt0040522,1948-11-24,8.0,404.0,original_title_norm
Double Indemnity,1944,double indemnity,996.0,tt0036775,1944-04-24,8.0,425.0,title_norm
Citizen Kane,1941,citizen kane,15.0,tt0033467,1941-04-30,8.0,1244.0,title_norm
M - Eine Stadt sucht einen Mörder,1931,m  eine stadt sucht einen mörder,,,,,,
Metropolis,1927,metropolis,19.0,tt0017136,1927-01-10,8.0,666.0,title_norm
The Kid,1921,the kid,10098.0,tt0012349,1921-01-21,8.0,404.0,title_norm
